хвороба,симптом1,симптом2,симптом3,симптом4,симптом5
Виразка шлунку,Зміни апетиту/ваги,Набряклість (локалізована),,,
Меланома,Сльозотеча,Охриплість голосу,Уникнення травматичних спогадів,Збільшення лімфовузлів,Дратівливість
Меланома,Почуття тривоги/паніки,,,,
Розсіяний склероз,Зменшення зросту з часом,Пригнічений настрій,,,
Хронічна втома,Розмитість зображення,,,,
Екзема,Гіперактивність,Зміна форми соска,Чутливість до сонця,,
Катаракта,Біль у вусі,Закладеність носа,Занепокоєння,Здуття,
Системний червоний вовчак,Шум у вухах,Труднощі з соціальною взаємодією,,,
Невралгія трійчастого нерва,Труднощі з соціальною взаємодією,Занепокоєння,Чхання,,
Глаукома,Прискорене серцебиття,,,,
Панкреатит,Зменшення зросту з часом,Здуття,,,
Астма,Ригідність м'язів,Двоїння в очах,,,
Розсіяний склероз,Сковання суглобів,Поступова втрата периферичного зору,Погіршення зору (прогресуюче),Вузлики на суглобах,Проблеми з мовленням
COVID-19,Обмеження рухливості,Закладеність носа,Порушення сну (безсоння),Відрижка,Біль у м'язах
Біполярний розлад,Спотворення образу тіла,Слабкість у кінцівках (прогресуюча),Маніакальні епізоди,Біль у спині,
Коліт,Біль у м'язах (сильний),Відчуття важкості в животі,Судоми,Дезорієнтація,Біль у лівій руці
Фарингит,Втрата смаку/нюху,Сутулість,Печія,,
Тривожність,Порушення зору,Підвищений апетит,Лущення шкіри,Двоїння в очах,Чутливість до сонця
Рак молочної залози,Біль у кістках,Помутніння зору,Чутливість до сонця,Почервоніння (локалізоване),
Астма,Сухість в очах,Сльозотеча,Здуття,Райдужні кола навколо джерел світла,
Рак легенів,Втома,,,,
Хвороба Крона,Підвищений апетит,Біль у животі (переймоподібний),Біль у лівій руці,Порушення чутливості,
COVID-19,Порушення пам'яті,Біль у животі (розлитий),,,
Тривожність,Порушення зору,Слабкість у кінцівках (прогресуюча),Сухість в очах,Висипання на шкірі (бляшки),Набряклість (локалізована)
Рак шлунку,Зміни нігтів,Раптова слабкість в обличчі/руці/нозі,,,
Склеродермія,Виділення з соска,,,,
Склеродермія,Біль у суглобах (сильний),Ригідність м'язів,Втрата інтересу до діяльності,Порушення чутливості,Біль у горлі (першіння)
Гіпотонія,Закладеність носа,,,,
Біполярний розлад,Дезорієнтація,Переїдання з наступним очищенням,Уповільненість рухів,Закладеність носа,Проблеми з ковтанням
Невралгія трійчастого нерва,Висипання на шкірі (різні),Виділення з вуха,,,
Епілепсія,Охриплість голосу,Почервоніння (локалізоване),Судоми,Чхання,
Хвороба Альцгеймера,Порушення пам'яті,Нічна пітливість,Діарея,Головний біль (ранковий),"Біль у грудях (стискаючий, пекучий)"
Енцефаліт,Біль у горлі,,,,
COVID-19,Пітливість,Проблеми з концентрацією,Тремтіння (тремор),Часте болісне сечовипускання,Кашель
Енцефаліт,Порушення координації рухів,Судоми,Порушення сну (безсоння),,
Склеродермія,Пітливість,Обмеження рухів (локалізоване),Втрата ваги (без причини),,
Посттравматичний стресовий розлад,Пригнічений настрій,,,,
Посттравматичний стресовий розлад,Втома,,,,
Рак шлунку,Погіршення зору (прогресуюче),,,,
Пієлонефрит,Висипання у вигляді метелика на обличчі,Чхання,Тремтіння (тремор),Занепокоєння,Уникнення травматичних спогадів
Інфаркт міокарда,Набряк мигдалин,Задишка,Біль у кістках,Набряклість (локалізована),
Безсоння,Жовтяниця,Білий наліт на мигдалинах,Зменшення зросту з часом,,
Анорексія,Перепади настрою,Біль у лівій руці,,,
Коліт,Чутливість до сонця,Сковання суглобів,Нав'язливі думки,Задишка,Проблеми з ковтанням
Виразка шлунку,Діарея,,,,
Меланома,Чутливість до яскравого світла,Стереотипні рухи,Тремтіння (тремор),Висипання у вигляді метелика на обличчі,
Лейкемія,Кашель (сухий),,,,
Пієлонефрит,Сплутаність свідомості,,,,
Коліт,Біль у правому боці,,,,
Депресія,Втрата ваги (без причини),Синдром Рейно,,,
Фарингит,Сухість у роті,"Проблеми з сечовипусканням (часті, утруднені)",Втрата ваги (без причини),Набряклість,Здуття кишківника
Апендицит,Раптова слабкість в обличчі/руці/нозі,Діарея,Головний біль,Жовтяниця,Двоїння в очах
Гіпертонія,Виділення з соска,Чхання,Нервозність,Розмитість зображення,Лихоманка
Депресія,Зміни апетиту/ваги,Втрата свідомості,,,
Рак простати,Біль у вусі,Спотворення образу тіла,Свистяче дихання,,
Плоскоклітинний рак,Біль у попереку,Сльозотеча (гнійні виділення),Судоми,Свербіж шкіри,
Рак молочної залози,Ущільнення шкіри,Оніміння кінцівок,Висипання на шкірі (бляшки),Відрижка,Лихоманка (сильна)
Обсесивно-компульсивний розлад,Блідість шкіри,,,,
Посттравматичний стресовий розлад,Біль у м'язах,,,,
Рак легенів,Лихоманка,,,,
Виразковий коліт,Переїдання з наступним очищенням,,,,
Артрит,Зміни особистості,Свербіж шкіри,,,
Хвороба Альцгеймера,Блювота (ранкова),Блювота,Набряклість (локалізована),,
Рак шлунку,Тремор рук,Сильний головний біль (пульсуючий),Збільшення щитоподібної залози,Біль у м'язах (сильний),
Невралгія трійчастого нерва,Стискання в грудях,Нудота,Обмеження рухів (локалізоване),,
Ревматоїдний артрит,Зменшення зросту з часом,Зміна форми соска,Збільшення лімфовузлів,Переїдання з наступним очищенням,Закладеність носа
Мігрень,Виділення з вуха,Труднощі з соціальною взаємодією,Раптова слабкість в обличчі/руці/нозі,,
Панкреатит,Обмеження рухів (локалізоване),Біль у животі (переймоподібний),Біль у правому підребер'ї,,
Катаракта,Обмеження рухів (локалізоване),Труднощі з соціальною взаємодією,Біль при ковтанні,Ущільнення в молочній залозі,Маніакальні епізоди
Псоріаз,"Проблеми з сечовипусканням (часті, утруднені)",Порушення координації рухів,,,
Застуда,Слабкість у кінцівках (прогресуюча),,,,
Депресія,Дезорієнтація,,,,
Безсоння,Спотворення образу тіла,Кров у сечі,,,
Гастроентерит,Свистяче дихання,Блювота (ранкова),,,
Булімія,Обмеження рухливості,,,,
Системний червоний вовчак,Сухість у роті,Біль у горлі (першіння),Кашель (з мокротою),Діарея,
Рак кишківника,Кров у калі,,,,
Розсіяний склероз,Уникнення травматичних спогадів,Сухість у роті,,,
Ревматоїдний артрит,Стереотипні рухи,,,,
Нарколепсія,Слабкість,Потемніння в очах при різкому вставанні,,,
Кон'юнктивіт,Свистяче дихання,Кров у сечі,Червоні плями на шкірі,Часте болісне сечовипускання,
Анорексія,Нав'язливі думки,Обмеження рухливості,Біль у животі (голодний біль),Проблеми з ковтанням,Хрипи в легенях
Біполярний розлад,Почервоніння (локалізоване),Кров у калі,Дезорієнтація,Кров у сечі,
Виразковий коліт,Помутніння зору,Маніакальні епізоди,Виділення з соска,Лихоманка (сильна),
Кропив'янка,Лихоманка (сильна),Занепокоєння,Слабкість,,
Діабет,Свистяче дихання,Біль у лівій руці,Чхання,Блювота,Погіршення нічного зору
Тривожність,Збільшення печінки/селезінки,Головний біль (ранковий),Біль у лівій руці,,
Астма,Червоні плями на шкірі,Сухість у роті,Сплутаність свідомості,,
Рак кишківника,Біль у правому підребер'ї,Набряклість (локалізована),Висипання у вигляді метелика на обличчі,Чутливість до яскравого світла,
Нарколепсія,Біль у м'язах,,,,
Енцефаліт,Відрижка,Зміни особистості,,,
Енцефаліт,Порушення координації рухів,Відчуття важкості в животі,Почуття провини/нікчемності,,
Кон'юнктивіт,Помутніння зору,Збільшення лімфовузлів,Ущільнення шкіри,Втрата апетиту (нервова),
Інсульт,Печія,Відчуття важкості в животі,Збільшення щитоподібної залози,Діарея,Здуття
Сечокам'яна хвороба,Здуття,,,,
Фіброміалгія,Проблеми з мовленням,Висипання,"Біль у грудях (стискаючий, пекучий)",Пригнічений настрій,Раптова слабкість в обличчі/руці/нозі
Гастрит,Прискорене дихання,Сплутаність свідомості,,,
Панкреатит,Перепади настрою,,,,
Анемія,Сухість в очах,Кашель (з мокротою),Білий наліт на мигдалинах,Закладеність носа,
Екзема,Білий наліт на мигдалинах,Неуважність,Ригідність м'язів,,
Базаліома,Кров у калі,Зміна форми соска,,,
Плоскоклітинний рак,Маніакальні епізоди,Набряк суглобів,Флешбеки,Збільшення живота,
Обсесивно-компульсивний розлад,Ущільнення в молочній залозі,,,,
Депресія,Біль у вусі,,,,
Гепатит,Слабкість,Свербіж шкіри,Сильний головний біль (пульсуючий),,
Плоскоклітинний рак,Холодні кінцівки,Хрипи в легенях,Нічна пітливість,Уповільненість рухів,Сухість в очах
Анемія,Втрата інтересу до діяльності,Переїдання з наступним очищенням,,,
Менінгіт,Біль у грудях (що посилюється при диханні),Висипання на шкірі (бляшки),Стомлюваність (сильна),Втрата інтересу до діяльності,
Ішіас,Тенезми,Сковання суглобів,Кров у калі,Імпульсивність,
Рак молочної залози,Зменшення зросту з часом,Кров у калі,Підвищений апетит,Стомлюваність (сильна),Випадіння волосся
Ішіас,Висипання на шкірі (бляшки),Пригнічений настрій,Біль у суглобах (сильний),Флешбеки,Шум у вухах
Коліт,Біль у суглобах,Сутулість,Біль у животі (пекучий),,
Подагра,Обмеження рухів (локалізоване),Лихоманка,Біль у животі (розлитий),Біль у м'язах,
Коліт,Лихоманка (сильна),,,,
Хронічна втома,Сутулість,Почервоніння (локалізоване),Перепади настрою,Біль у лівій руці,Блювота
Сечокам'яна хвороба,Синці на шкірі (без причини),Висипання на шкірі (різні),Біль у спині,Нервозність (підвищена),Кашель (сухий)
Булімія,Почервоніння обличчя,,,,
Гіпертонія,Слабкість у кінцівках (прогресуюча),Закладеність носа,,,
Виразковий коліт,Шум у вухах,Зменшення зросту з часом,Обмеження рухів (локалізоване),Печія,Сплутаність свідомості
Гепатит,Часте болісне сечовипускання,Закладеність носа,Страх набрати вагу,Хрипи в легенях,Нервозність (підвищена)
Катаракта,Діарея,,,,
Виразковий коліт,Кашель (з мокротою),,,,
Астма,Стереотипні рухи,"Біль у грудях (стискаючий, пекучий)",Занепокоєння,Біль у животі (голодний біль),
Ларингіт,Проблеми з рівновагою,Блідість шкіри,Проблеми з концентрацією,Зміни апетиту/ваги,Втрата апетиту (нервова)
Фарингит,Слабкість,Лихоманка,Висипання,Тремор рук,
Інсульт,Відчуття важкості в животі,Нежить,Білий наліт на мигдалинах,,
Катаракта,Уникнення травматичних спогадів,,,,
Депресія,Виділення з вуха,,,,
Кропив'янка,Нежить,Чутливість до світла/звуку,Труднощі з соціальною взаємодією,,
Лейкемія,Сльозотеча (гнійні виділення),Оніміння кінцівок,Втрата свідомості,Тенезми,Висипання
Гіпертонія,Здуття кишківника,Труднощі з соціальною взаємодією,Стискання в грудях,,
Рак кишківника,Висипання,Судоми,Біль у м'язах (локалізований),,
Діабет,Відрижка,Біль у суглобах (мігруючий),Охриплість голосу,Біль у животі (пекучий),
Гастроентерит,Зміни нігтів,Біль у спині,,,
Рак легенів,Неуважність,Обмеження рухів (локалізоване),Запаморочення,,
Лейкемія,Висипання,,,,
Кропив'янка,Втрата смаку/нюху,Порушення зору,Порушення зору (аура),,
Інсульт,Кровотеча,Шум у вухах,Нічна пітливість,,
Хвороба Крона,Обмеження рухів (локалізоване),,,,
Посттравматичний стресовий розлад,Кровотеча,Тремтіння (тремор),Обмеження рухів (локалізоване),Деформація суглобів,
Ревматоїдний артрит,Гіперактивність,Набряклість,Занепокоєння,Деформація суглобів,Випадіння волосся
Глаукома,Затримка мовленнєвого розвитку,Дратівливість,Біль у суглобах (сильний),Кровотеча,
Бронхіт,Чутливість до сонця,Лихоманка,Пригнічений настрій,,
Біполярний розлад,Втрата ваги (різка),Кров у сечі,Вузлики на суглобах,Флешбеки,
Глаукома,Чутливість до яскравого світла,Біль у кістках,,,
Ревматоїдний артрит,Біль при ковтанні,Набряк суглобів,Сильний головний біль (пульсуючий),Обмеження рухливості,Уникнення травматичних спогадів
Ангіна,Біль у м'язах,Збільшення печінки/селезінки,Свербіж шкіри,Здуття кишківника,Кашель (з мокротою)
Карпальний тунельний синдром,Нічна пітливість,Втрата апетиту (нервова),Збільшення щитоподібної залози,Уникнення травматичних спогадів,
Синусит,Почервоніння (локалізоване),Біль у суглобах (мігруючий),,,
Артрит,Порушення зору (аура),Біль у животі (розлитий),,,
Алергія,Біль у суглобах,Біль у животі (пекучий),"Проблеми з сечовипусканням (часті, утруднені)",Обмеження рухів (локалізоване),Свербіж шкіри
Ішіас,Дезорієнтація,Біль у попереку,Виділення з соска,Блювота,Поколювання в кінцівках
Булімія,Лущення шкіри,Свистяче дихання,Кровотеча,,
Хронічна втома,Кашель,Нервозність,,,
Рак молочної залози,Біль в очах (ріжучий),,,,
Бронхіт,Закладеність носа,,,,
Жовчнокам'яна хвороба,Кашель з кров'ю,Судоми,,,
Рак шлунку,Кров у сечі,Тремтіння (тремор),Біль у м'язах,Біль у м'язах (сильний),Помутніння зору
Епілепсія,"Проблеми з сечовипусканням (часті, утруднені)",Флешбеки,Біль у правому боці,,
Гіпертонія,Сковання суглобів,Висипання на шкірі (бляшки),Оніміння кінцівок,,
Рак кишківника,Синдром Рейно,Зміна форми соска,Затримка мовленнєвого розвитку,"Проблеми з сечовипусканням (часті, утруднені)",Діарея
Посттравматичний стресовий розлад,М'язова слабкість,Висипання,Пітливість,Слабкість,
Анорексія,Порушення сну (безсоння),Задишка,Здуття,Біль у грудях,
Булімія,Сплутаність свідомості,Повільне загоєння ран,,,
Гіпотонія,Нічна пітливість,Біль у вусі,Біль у лівій руці,Біль у горлі,Слабкість у кінцівках (прогресуюча)
Шизофренія,Перепади настрою,Втрата інтересу до діяльності,,,
Хвороба Паркінсона,Уникнення травматичних спогадів,"Проблеми з сечовипусканням (часті, утруднені)",,,
Пневмонія,Відрижка,Обмеження рухливості,Головний біль (ранковий),,
Холецистит,Набряк мигдалин,Вузлики на суглобах,Переїдання з наступним очищенням,,
Грип,Занепокоєння,Біль у спині,Висипання на шкірі (різні),Почуття провини/нікчемності,Біль у суглобах
Остеопороз,Потемніння в очах при різкому вставанні,Чхання,Сплутаність свідомості,Кашель (з мокротою),
Синусит,Біль у животі (пекучий),Свистяче дихання,Синдром Рейно,,
Тривожність,Двоїння в очах,Печія,,,
Анорексія,Збільшення лімфовузлів,,,,
Сечокам'яна хвороба,Нічна пітливість,Переїдання з наступним очищенням,Затримка мовленнєвого розвитку,Кашель,
Рак легенів,Почервоніння (локалізоване),Біль при ковтанні,,,
Менінгіт,Виділення з вуха,,,,
Ангіна,Компульсивні дії,Слабкість,Захриплість голосу,,
Рак шлунку,Захриплість голосу,Біль у спині,Нервозність,Уповільненість рухів,
Синдром дефіциту уваги та гіперактивності,Головний біль,,,,
Сечокам'яна хвороба,Головний біль (ранковий),Збільшення щитоподібної залози,Ригідність м'язів,Виділення з соска,
Коліт,Вузлики на суглобах,,,,
Пневмонія,Чутливість до світла/звуку,Уникнення травматичних спогадів,Біль у спині,Збільшення печінки/селезінки,Свистяче дихання
Лейкемія,Почервоніння шкіри над суглобом,Висипання у вигляді метелика на обличчі,Кашель (з мокротою),,
Кропив'янка,Тремор рук,Біль у правому боці,Свербіж в очах,Біль у суглобах,Порушення сну (безсоння)
Фіброміалгія,Двоїння в очах,Помутніння зору,,,
Алергія,Розмитість зображення,Імпульсивність,Біль у животі (голодний біль),,
Системний червоний вовчак,Задишка,Здуття,Біль у горлі,Нав'язливі думки,
Кон'юнктивіт,Запаморочення,Синці на шкірі (без причини),Дезорієнтація,Висипання на шкірі (різні),
Хвороба Альцгеймера,Часте болісне сечовипускання,Раптова слабкість в обличчі/руці/нозі,Втрата ваги (без причини),,
Діабет,Червоні плями на шкірі,Біль у м'язах,,,
Рак простати,Виділення з соска,Раптова слабкість в обличчі/руці/нозі,Пітливість,Підвищена температура тіла (локальна),
Псоріаз,Порушення зору (аура),,,,
Лейкемія,Біль в очах,Нежить,,,
Базаліома,Біль у грудях (що посилюється при диханні),,,,
Шизофренія,Втрата інтересу до діяльності,Біль у суглобах (мігруючий),Біль у правому боці,Втома,
Виразковий коліт,Нудота,Свербіж в очах,Чутливість до яскравого світла,Втрата інтересу до діяльності,Сплутаність свідомості
Застуда,Захриплість голосу,Почуття провини/нікчемності,Раптова слабкість в обличчі/руці/нозі,Підвищений апетит,Спотворення образу тіла
Хвороба Альцгеймера,Кашель,,,,
Пієлонефрит,Червоні плями на шкірі,,,,
Інфаркт міокарда,Слабкість у кінцівках (прогресуюча),,,,
Цистит,Спрага,,,,
Синусит,Біль у суглобах,Запаморочення,Розмитість зображення,,
Хвороба Альцгеймера,Біль у кістках,"Біль у грудях (стискаючий, пекучий)",,,
Кропив'янка,Стомлюваність (сильна),Сильний головний біль (пульсуючий),Перепади настрою,Ущільнення шкіри,
Діабет,Труднощі з соціальною взаємодією,Двоїння в очах,Почервоніння шкіри над суглобом,Ригідність м'язів,Білий наліт на мигдалинах
Гастроентерит,Свистяче дихання,Сльозотеча (гнійні виділення),Збільшення щитоподібної залози,Раптові напади сну,
Цистит,Дезорієнтація,Слабкість,Біль при ковтанні,Пригнічений настрій,
Енцефаліт,Біль у животі (розлитий),Раптова слабкість в обличчі/руці/нозі,Труднощі з соціальною взаємодією,Висипання,
Анемія,Закладеність носа,Шум у вухах,Блідість шкіри,Чутливість до яскравого світла,
Застуда,Обмеження рухливості,Стереотипні рухи,Потемніння в очах при різкому вставанні,Висипання на шкірі (різні),Стомлюваність (сильна)
Рак простати,Біль у горлі,,,,
Артрит,Звуження поля зору,,,,
Синусит,Біль у горлі (першіння),Зміни особистості,,,
Меланома,Лихоманка (сильна),Біль у правому підребер'ї,,,
Глаукома,Біль у кістках,,,,
Тривожність,Судоми,Біль в очах,,,
Алергія,Гіперактивність,Втрата ваги (різка),Тенезми,Біль у попереку,Висипання
Фарингит,Зміни особистості,Виділення з вуха,Компульсивні дії,Почуття провини/нікчемності,Біль у кістках
Артрит,Почуття провини/нікчемності,Діарея,Стереотипні рухи,Кровотеча з ясен,Блювота
Анорексія,Набряклість (локалізована),Втрата апетиту (нервова),,,
Анемія,Втрата ваги (різка),,,,
Пневмонія,Перепади настрою,Біль у правому боці,Жовтяниця,Втрата ваги,
Діабет,Запаморочення,Погіршення зору,,,
Виразковий коліт,Проблеми з рівновагою,Синдром Рейно,Погіршення нічного зору,,
Лейкемія,Кров у калі,Сплутаність свідомості,Запаморочення,Порушення сну,
Системний червоний вовчак,Захриплість голосу,Біль у горлі,Дезорієнтація,,
Нарколепсія,Біль у животі (розлитий),Слабкість,Почервоніння (локалізоване),Проблеми з рівновагою,Порушення координації рухів
Екзема,Спотворення образу тіла,,,,
Екзема,Кашель з кров'ю,Набряклість (локалізована),,,
Кон'юнктивіт,Біль у суглобах (мігруючий),Нічна пітливість,Нервозність,,
Панкреатит,Поколювання в кінцівках,,,,
Синдром дефіциту уваги та гіперактивності,Біль у грудях (що посилюється при диханні),Втрата смаку/нюху,Тремор рук,Зміна форми соска,Охриплість голосу
Базаліома,Стомлюваність (сильна),Перепади настрою,Проблеми з концентрацією,Підвищена температура тіла (локальна),
Фіброміалгія,Біль у правому боці,Висипання на шкірі (бляшки),,,
Обсесивно-компульсивний розлад,Зміни особистості,Мутна сеча,,,
COVID-19,Сковання суглобів,Порушення зору,Неуважність,Погіршення зору,Синдром Рейно
Рак кишківника,Біль у животі (пекучий),Біль в очах (ріжучий),Охриплість голосу,Проблеми з мовленням,Проблеми з концентрацією
Карпальний тунельний синдром,Задишка,Печія,Втрата ваги (різка),Тенезми,
Апендицит,Гіперактивність,Біль у правому боці,,,
Обсесивно-компульсивний розлад,Набряк мигдалин,Набряклість,Біль у животі (розлитий),Ломота в тілі,
Ішіас,Задишка,,,,
Екзема,Флешбеки,Відрижка,Занепокоєння,Тенезми,Погіршення зору (прогресуюче)
Ревматоїдний артрит,Біль у м'язах,Стискання в грудях,Відрижка,,
Булімія,Відчуття важкості в животі,Переїдання з наступним очищенням,Втрата ваги,,
Хвороба Паркінсона,Слабкість,,,,
Безсоння,Лихоманка (сильна),Сухість у роті,,,
Обсесивно-компульсивний розлад,Почуття тривоги/паніки,Збільшення лімфовузлів,Занепокоєння,,
Рак простати,Райдужні кола навколо джерел світла,Порушення чутливості,Носова кровотеча,Порушення зору (аура),
Лейкемія,Серцебиття (прискорене),М'язова слабкість,Біль у лівій руці,,
Панкреатит,Втрата смаку/нюху,Звуження поля зору,,,
Екзема,Кашель з кров'ю,,,,
Лейкемія,Втрата апетиту (нервова),,,,
Фарингит,Червоні плями на шкірі,Занепокоєння,,,
Бронхіт,Погіршення зору (прогресуюче),Сплутаність свідомості,Часте болісне сечовипускання,,
Обсесивно-компульсивний розлад,Кашель,Біль у животі (голодний біль),Біль у м'язах (сильний),Кров у калі,
Гіпертонія,Відрижка,Сплутаність свідомості,Здуття,,
Пневмонія,Мутна сеча,Лихоманка,Біль у животі (розлитий),Компульсивні дії,Серцебиття (прискорене)
Менінгіт,Висипання на шкірі (різні),Сковання суглобів,Надмірна сонливість вдень,Тремтіння (тремор),
Панкреатит,Синдром Рейно,Чутливість до яскравого світла,,,
Артрит,Запаморочення,Розмитість зображення,"Проблеми з сечовипусканням (часті, утруднені)",Слабкість,Кров у сечі
Рак кишківника,Пригнічений настрій,,,,
Розсіяний склероз,Втрата свідомості,Пітливість,Розмитість зображення,Відчуття важкості в животі,
Розсіяний склероз,Повільне загоєння ран,Печія,Порушення зору,,
Жовчнокам'яна хвороба,Чутливість до світла/звуку,Розмитість зображення,Порушення чутливості,Свербіж шкіри,
Остеопороз,Ломота в тілі,Холодні кінцівки,Біль у животі (розлитий),,
Гіпотонія,Біль у лівій руці,Біль у суглобах (сильний),Втрата апетиту (нервова),Збільшення щитоподібної залози,
Катаракта,Червоні плями на шкірі,Діарея,Кашель,Порушення сну,Втрата ваги (різка)
Псоріаз,Нервозність,Сплутаність свідомості,Проблеми з ковтанням,Погіршення нічного зору,Сльозотеча (гнійні виділення)
Жовчнокам'яна хвороба,Біль у спині,Виділення з вуха,Спотворення образу тіла,Нудота,Лущення шкіри
Пневмонія,Звуження поля зору,Спрага,Біль у кістках,Порушення сну (безсоння),
Отит,Порушення пам'яті,Переїдання з наступним очищенням,,,
Карпальний тунельний синдром,Кровотеча,Біль при ковтанні,,,
Артрит,Тенезми,Зміна форми соска,Компульсивні дії,Прискорене дихання,
Алергія,Біль у кістках,Втрата свідомості,,,
Виразка шлунку,Кашель з кров'ю,Порушення зору (аура),,,
Інсульт,Зміни особистості,Порушення пам'яті,Проблеми з координацією,,
Лейкемія,Дратівливість,Кашель (з мокротою),Затримка мовленнєвого розвитку,,
Грип,Біль у суглобах (мігруючий),Набряклість,Біль у м'язах,,
COVID-19,Проблеми з координацією,Нервозність (підвищена),Порушення сну,,
Булімія,Біль у грудях,Закладеність носа,,,
Склеродермія,Погіршення зору,Сухість в очах,Проблеми з рівновагою,Червоні плями на шкірі,
Карпальний тунельний синдром,Ущільнення в молочній залозі,,,,
Діабет,Неуважність,Задишка,Затримка мовленнєвого розвитку,,
Базаліома,Прискорене дихання,Звуження поля зору,,,
